player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url,age
293257,2021,543,matija-sarkic,Matija Sarkic,England,Montenegro,1997-07-23,Goalkeeper,Goalkeeper,Right,195,1620000.0,1620000.0,https://www.transfermarkt.co.uk/matija-sarkic/profil/spieler/293257,24
175446,2021,543,jonny-otto,Jonny Otto,Spain,Spain,1994-03-03,Defender,Defender - Left-Back,Both,175,13500000.0,18000000.0,https://www.transfermarkt.co.uk/jonny-otto/profil/spieler/175446,27
37428,2021,1519,charlie-mulgrew,Charlie Mulgrew,Scotland,Scotland,1986-03-06,Defender,Defender - Centre-Back,Left,191,270000.0,3150000.0,https://www.transfermarkt.co.uk/charlie-mulgrew/profil/spieler/37428,35
606718,2021,543,toti,Toti,Guinea-Bissau,Portugal,1999-01-16,Defender,Defender - Centre-Back,Left,187,900000.0,900000.0,https://www.transfermarkt.co.uk/toti/profil/spieler/606718,22
487465,2021,543,pedro-neto,Pedro Neto,Portugal,Portugal,2000-03-09,Attack,attack - Left Winger,Left,172,31500000.0,31500000.0,https://www.transfermarkt.co.uk/pedro-neto/profil/spieler/487465,21
171424,2021,281,riyad-mahrez,Riyad Mahrez,France,Algeria,1991-02-21,Attack,attack - Right Winger,Left,179,36000000.0,54000000.0,https://www.transfermarkt.co.uk/riyad-mahrez/profil/spieler/171424,30
193323,2021,16239,maksym-degtyarov,Maksym Degtyarov,Ukraine,Ukraine,1993-05-30,Attack,attack - Centre-Forward,Right,185,225000.0,450000.0,https://www.transfermarkt.co.uk/maksym-degtyarov/profil/spieler/193323,28
412669,2021,543,francisco-trincao,Francisco Trincao,Portugal,Portugal,1999-12-29,Attack,attack - Right Winger,Left,184,19800000.0,27000000.0,https://www.transfermarkt.co.uk/francisco-trincao/profil/spieler/412669,22
363205,2021,281,gabriel-jesus,Gabriel Jesus,Brazil,Brazil,1997-04-03,Attack,attack - Centre-Forward,Right,175,45000000.0,72000000.0,https://www.transfermarkt.co.uk/gabriel-jesus/profil/spieler/363205,24
8198,2021,985,cristiano-ronaldo,Cristiano Ronaldo,Portugal,Portugal,1985-02-05,Attack,attack - Centre-Forward,Right,187,31500000.0,108000000.0,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198,36
37304,2021,180,shane-long,Shane Long,Ireland,Ireland,1987-01-22,Attack,attack - Centre-Forward,Both,180,720000.0,9000000.0,https://www.transfermarkt.co.uk/shane-long/profil/spieler/37304,34
631821,2021,338,vladyslav-vanat,Vladyslav Vanat,Ukraine,Ukraine,2002-01-04,Attack,attack - Centre-Forward,Left,182,270000.0,270000.0,https://www.transfermarkt.co.uk/vladyslav-vanat/profil/spieler/631821,19
