country,pretty_name,position,market_value_in_gbp,age,LongitudeMeasure,LatitudeMeasure,value
Switzerland,Frederic Veseli,Defender,540000.0,29,7.640930721370234,46.65150200515505,"540,000.0"
Switzerland,Vullnet Basha,Midfield,270000.0,31,7.301333305070699,46.26474541687683,"270,000.0"
Switzerland,Cedric Brunner,Defender,2880000.0,27,9.213238690794954,47.35007721499266,"2,880,000.0"
Switzerland,Saulo Decarli,Defender,270000.0,29,7.073071171121803,46.48189041641354,"270,000.0"
Switzerland,Silvan Hefti,Defender,4500000.0,24,8.068948820033302,46.92756455732447,"4,500,000.0"
Switzerland,Berkan Kutlu,Midfield,4320000.0,23,8.18914717047774,46.526189208862974,"4,320,000.0"
Switzerland,Nedim Bajrami,Attack,9000000.0,22,9.032382325304084,46.22684196793195,"9,000,000.0"
Switzerland,Nicolas Haas,Midfield,3150000.0,25,6.489756859162458,46.61337863811492,"3,150,000.0"
Switzerland,Florent Hadergjonaj,Defender,3600000.0,27,6.615830243722732,46.93416631137767,"3,600,000.0"
Switzerland,Remo Freuler,Midfield,21600000.0,29,7.52055089758376,46.30465598572603,"21,600,000.0"
Switzerland,Berat Djimsiti,Defender,18000000.0,28,6.507942583446683,46.67790336113874,"18,000,000.0"
Switzerland,Michel Aebischer,Midfield,3150000.0,24,10.415360492381431,46.8604696550421,"3,150,000.0"
Switzerland,Harun Alpsoy,Midfield,90000.0,24,7.33896163330055,46.31179482017906,"90,000.0"
Switzerland,Denis Zakaria,Midfield,24300000.0,25,8.67934825268965,47.16142748713027,"24,300,000.0"
Switzerland,Ricardo Rodriguez,Defender,1800000.0,29,8.400669336033399,46.33849334505492,"1,800,000.0"
Switzerland,Levent Gulen,Defender,180000.0,27,9.406257466528729,47.3867366613006,"180,000.0"
Switzerland,Jean Pierre Rhyner,Defender,270000.0,25,8.157727006509461,47.47224527716676,"270,000.0"
Switzerland,Steven Zuber,Attack,3150000.0,30,7.471655339154429,45.9472147586565,"3,150,000.0"
Switzerland,Darko Jevtic,Attack,1800000.0,28,6.638136871368986,46.5205753903002,"1,800,000.0"
Switzerland,Fabian Schar,Defender,6300000.0,30,9.45718414921204,46.79662047657338,"6,300,000.0"
Switzerland,Arijanet Muric,Goalkeeper,2340000.0,23,8.07045252877895,46.67606735539258,"2,340,000.0"
Switzerland,Gokhan Inler,Midfield,158000.0,37,7.548752546903669,46.76203202052201,"158,000.0"
Switzerland,Izet Hajrovic,Attack,315000.0,30,7.539704820625602,46.75871542713576,"315,000.0"
Switzerland,Granit Xhaka,Midfield,18000000.0,29,8.503646478889799,46.110378420403215,"18,000,000.0"
Switzerland,Cedric Itten,Attack,2700000.0,25,8.807840519723523,46.33915268971959,"2,700,000.0"
Switzerland,Albian Ajeti,Attack,2250000.0,24,6.447494051066272,47.00780661208494,"2,250,000.0"
Switzerland,Benjamin Siegrist,Goalkeeper,585000.0,29,9.22970257271606,47.28899330988433,"585,000.0"
Switzerland,Charles Pickel,Midfield,2250000.0,24,7.591123068342871,46.36713573031561,"2,250,000.0"
Switzerland,Diogo Costa,Goalkeeper,22500000.0,22,8.105413155022179,47.3844484399846,"22,500,000.0"
Switzerland,Michael Frey,Attack,4500000.0,27,8.8568430207657,47.590092739596045,"4,500,000.0"
Switzerland,Cameron Puertas,Midfield,1530000.0,23,7.267182316986608,47.29230153705221,"1,530,000.0"
Switzerland,Stefan Knezevic,Defender,810000.0,25,7.605580626105937,46.905703593024434,"810,000.0"
Switzerland,Gabriel Bares,Midfield,630000.0,21,8.880126483577282,47.23156725956838,"630,000.0"
Switzerland,Pedro Mendes,Defender,3600000.0,31,6.965679615194363,47.18115293747128,"3,600,000.0"
Switzerland,Jonas Omlin,Goalkeeper,7200000.0,27,9.113500849565195,47.29070191427142,"7,200,000.0"
Switzerland,Dereck Kutesa,Attack,1080000.0,24,7.788992113725444,47.55812415683445,"1,080,000.0"
Switzerland,Haris Seferovic,Attack,7200000.0,29,7.86603838795545,45.99331879759556,"7,200,000.0"
Switzerland,Jordan Lotomba,Defender,6300000.0,23,8.831039722764956,46.93969614731048,"6,300,000.0"
Switzerland,Eray Comert,Defender,1350000.0,23,6.6567591324464725,46.26862359930492,"1,350,000.0"
Switzerland,Andi Zeqiri,Attack,2700000.0,22,6.622127079213649,46.66471539379306,"2,700,000.0"
Switzerland,Ruben Vargas,Attack,8100000.0,23,8.220148115006157,47.54635826186648,"8,100,000.0"
Switzerland,Nico Elvedi,Defender,20700000.0,25,7.490142828204208,46.26956476929757,"20,700,000.0"
Switzerland,Yann Sommer,Goalkeeper,4500000.0,33,9.336902812021863,47.42603514444672,"4,500,000.0"
Switzerland,Djibril Sow,Midfield,15750000.0,24,7.26945896098225,46.839359461437866,"15,750,000.0"
Switzerland,Nishan Burkart,Attack,315000.0,21,7.437866535396394,47.29375748135066,"315,000.0"
Switzerland,Luuk De Jong,Attack,3600000.0,31,8.91994824212953,46.60572625382951,"3,600,000.0"
Switzerland,Ivan Rakitic,Midfield,6300000.0,33,8.95955078919837,47.36664824965838,"6,300,000.0"
Switzerland,Renato Steffen,Attack,2520000.0,30,7.222544291952307,46.477243947153895,"2,520,000.0"
Switzerland,Kevin Mbabu,Defender,10800000.0,26,9.208156237561829,46.651427536523,"10,800,000.0"
Switzerland,Joel Pereira,Goalkeeper,270000.0,25,8.107476909544204,47.17003515633274,"270,000.0"
Switzerland,Manuel Akanji,Defender,27000000.0,26,6.937987630446388,46.738994917636376,"27,000,000.0"
Switzerland,Roman Burki,Goalkeeper,1620000.0,31,8.918360297898364,46.55056288466085,"1,620,000.0"
Switzerland,Gregor Kobel,Goalkeeper,18000000.0,24,9.95958455669654,46.80350755172822,"18,000,000.0"
Switzerland,Marwin Hitz,Goalkeeper,900000.0,34,6.395428542511338,46.42844657761966,"900,000.0"
Switzerland,Silvan Widmer,Defender,4500000.0,28,6.636555323012624,46.55192260925576,"4,500,000.0"
Switzerland,Martin Angha,Defender,630000.0,27,7.494610481625552,46.435946263535705,"630,000.0"
Switzerland,Siem De Jong,Attack,450000.0,32,7.265698144118712,46.43225347485591,"450,000.0"
Luxembourg,Vahid Selimovic,Defender,540000.0,24,5.912353159370993,49.98941841715848,"540,000.0"
Luxembourg,Mica Pinto,Defender,540000.0,28,6.0350028986673045,49.99122181967919,"540,000.0"
Luxembourg,Laurent Jans,Defender,360000.0,29,6.188099128467751,49.52227978449744,"360,000.0"
Luxembourg,Leandro Barreiro,Midfield,8100000.0,21,6.031490742266999,49.79296882585293,"8,100,000.0"
Luxembourg,Ryan Johansson,Midfield,90000.0,20,5.886542266000153,50.07180970287448,"90,000.0"
Luxembourg,Christopher Martins Pereira,Midfield,4500000.0,24,5.933502729274888,49.91352026797972,"4,500,000.0"
Belgium,Dino Arslanagic,Defender,900000.0,28,5.63333250732354,50.58485146727359,"900,000.0"
Belgium,Kevin Mirallas,Attack,360000.0,34,3.188975464605023,50.84517829364539,"360,000.0"
Belgium,Nathan De Medina,Defender,675000.0,24,2.8422358584361453,50.79627413604739,"675,000.0"
Belgium,Antoine Bernier,Attack,540000.0,24,4.102302562986312,51.04507616436974,"540,000.0"
Belgium,Mathieu Cachbach,Midfield,270000.0,20,4.636029669031075,51.315303759877935,"270,000.0"
Belgium,Ibrahima Cisse,Midfield,540000.0,27,4.879353292182769,50.43171176378079,"540,000.0"
Belgium,Francesco Donofrio,Defender,90000.0,31,4.147505041688142,50.66447460642112,"90,000.0"
Belgium,Marsoni Sambu,Defender,360000.0,25,4.52723078219698,51.108639466031626,"360,000.0"
Belgium,Philippe Rommens,Midfield,450000.0,24,5.251233629091579,49.98929430314099,"450,000.0"
Belgium,Sami Lahssaini,Midfield,450000.0,23,2.8544668956504142,50.88108100624751,"450,000.0"
Belgium,Sofian Kiyine,Midfield,2069999.0,24,4.089229904885911,51.08576490562703,"2,069,999.0"
Belgium,Ahmed El Messaoudi,Attack,608000.0,26,5.58593428402129,50.329191159816354,"608,000.0"
Belgium,Zinho Vanheusden,Defender,9000000.0,22,3.852347068517231,50.81992642052338,"9,000,000.0"
Belgium,Alpaslan Ozturk,Defender,990000.0,28,5.049943546530802,50.613953524876855,"990,000.0"
Belgium,Adnan Ugur,Midfield,450000.0,20,4.779954016834078,51.21765072942333,"450,000.0"
Belgium,Nacer Chadli,Attack,2520000.0,32,5.592488747343911,49.60451142375518,"2,520,000.0"
Belgium,Zymer Bytyqi,Attack,4950000.0,25,5.968214360891729,50.320339769964825,"4,950,000.0"
Belgium,Dries Mertens,Attack,4500000.0,34,3.9262559322215487,50.52595575692816,"4,500,000.0"
Belgium,Alexis Saelemaekers,Attack,18000000.0,22,3.6400222388473296,50.9132502898393,"18,000,000.0"
Belgium,Muhammed Mert,Midfield,203000.0,26,4.364742547420338,51.25261090858636,"203,000.0"
Belgium,Arthur Theate,Defender,9000000.0,21,4.438437918502347,50.17324750658713,"9,000,000.0"
Belgium,Ruud Boffin,Goalkeeper,405000.0,34,4.262672881074545,50.43395188241997,"405,000.0"
Belgium,Deni Milosevic,Attack,900000.0,26,3.223860685055404,51.15605774583828,"900,000.0"
Belgium,Dennis Praet,Midfield,13500000.0,27,4.134197640040864,50.5914899928987,"13,500,000.0"
Belgium,Viktor Klonaridis,Attack,540000.0,29,4.871959700567521,51.11029896278343,"540,000.0"
Belgium,Davino Verhulst,Goalkeeper,180000.0,34,5.153100506182401,50.645533689598686,"180,000.0"
Belgium,Michy Batshuayi,Attack,9000000.0,28,3.03670347440354,51.18079460998007,"9,000,000.0"
Belgium,Rocky Bushiri,Defender,540000.0,22,4.26040918401574,50.179979968799024,"540,000.0"
Belgium,Omar El Kaddouri,Attack,1620000.0,31,4.292692870193875,50.76652046396174,"1,620,000.0"
Belgium,Marvin Peersman,Defender,450000.0,30,3.2812441074013554,50.701006871775455,"450,000.0"
Belgium,Romelu Lukaku,Attack,76500000.0,28,4.883760052393965,51.20822346733861,"76,500,000.0"
Belgium,Charly Musonda Jr ,Attack,900000.0,25,3.274887083795952,51.19272132094167,"900,000.0"
Belgium,Youri Tielemans,Midfield,49500000.0,24,3.5225155535585806,50.7124906028528,"49,500,000.0"
Belgium,Timothy Castagne,Defender,25200000.0,26,3.9452674496683846,50.5653457117043,"25,200,000.0"
Belgium,Pascal Struijk,Defender,13500000.0,22,4.503227430139261,50.4291216870006,"13,500,000.0"
Belgium,Alper Uludag,Defender,360000.0,31,5.306300983076403,50.38554511671936,"360,000.0"
Belgium,Funso Ojo,Midfield,383000.0,30,4.513130882186542,50.9268786864482,"383,000.0"
Belgium,Stephane Omeonga,Midfield,405000.0,25,3.927769427637688,51.26305232597842,"405,000.0"
